site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
20M05,20M05_2,LS,June,21,0.714427367377293,1,16.37409437890354
SFM01,SFM01_1,HS,June,7,1,1,14.959034175334324
SFM01,SFM01_2,LS,June,7,1,1,13.013135215453195
SFM01,SFM01_1,HS,June,14,0.9286245353159851,1,15.773722978382706
SFM01,SFM01_2,LS,June,14,0.9286245353159851,1,12.873658927141713
SFM01,SFM01_1,HS,June,21,0.6192364898363907,1,15.773722978382706
SFM01,SFM01_2,LS,June,21,0.6192364898363907,1,12.873658927141713
SFM02,SFM02_1,HS,June,7,1,1,14.996493313521546
SFM02,SFM02_2,LS,June,7,1,1,15.214873699851411
SFM02,SFM02_1,HS,June,14,0.9286245353159851,1,15.851529223378703
SFM02,SFM02_2,LS,June,14,0.9286245353159851,1,15.803722978382707
SFM02,SFM02_1,HS,June,21,0.6192364898363907,1,15.851529223378703
SFM02,SFM02_2,LS,June,21,0.6192364898363907,1,15.803722978382707
SFM03,SFM03_2,LS,June,7,1,1,15.15369985141159
SFM03,SFM03_2,LS,June,14,1,1,15.878171003717473
SFM03,SFM03_2,LS,June,21,0.6668319286068418,1,15.878171003717473
SFM04,SFM04_1,HS,June,7,1,1,15.096136701337295
SFM04,SFM04_1,HS,June,14,1,1,15.709992565055762
SFM04,SFM04_1,HS,June,21,0.6668319286068418,1,15.709992565055762
SFM05,SFM05_1,HS,June,7,1,1,15.284621099554235
SFM05,SFM05_2,LS,June,7,1,1,15.364843982169392
SFM05,SFM05_1,HS,June,14,1,1,15.923583643122676
SFM05,SFM05_2,LS,June,14,1,1,16.00435687732342
SFM05,SFM05_1,HS,June,21,0.6668319286068418,1,15.923583643122676
SFM05,SFM05_2,LS,June,21,0.6668319286068418,1,16.00435687732342
SFM07,SFM07_1,HS,June,7,1,1,15.392020802377415
SFM07,SFM07_1,HS,June,14,1,1,16.036914498141265
SFM07,SFM07_1,HS,June,21,0.6668319286068418,1,16.036914498141265
SFT01,SFT01_1,HS,June,7,1,1,15.790668647845468
SFT01,SFT01_1,HS,June,14,1,1,16.041130111524165
SFT01,SFT01_1,HS,June,21,0.714427367377293,1,16.111013185287995
SFT02,SFT02_1,HS,June,7,1,1,16.268588410104012
SFT02,SFT02_2,LS,June,7,1,1,15.987726597325409
SFT02,SFT02_1,HS,June,14,1,0.9836431226765799,16.670163568773233
